Start Time(MJD)(LSPx),Telescope,Duration(hr),Burst number
58963.74178,FAST,1.5,2
58991.67348,FAST,1.8,9
59060.464,FAST,1.83,3
59061.49554,FAST,1.38,8
59067.21628,Parkes,2,5
59067.46428,FAST,1.67,5
59069.46505,FAST,1.83,3
59071.4419,FAST,1.83,2
59073.46605,FAST,1.83,2
59075.44252,FAST,1.5,5
59077.43778,FAST,1.67,17
59089.41104,FAST,1,2
59093.14592,Parkes,2,11
59106.76693,GBT,4,6
59109.81436,GBT,6.5,9
59111.35757,FAST,0.72,2
59122.30878,Parkes,2,5
59292.40171,GBT,2.5,1
59296.41496,GBT,2.5,0
59300.41785,GBT,2.5,1
59304.41496,GBT,2.5,0
59332.56664,Parkes,2,0
59351.46059,Parkes,2,5
59360.4528,Parkes,2,1
59373.58222,Parkes,2,58
59384.59105,Parkes,2,8
59400.40788,Parkes,2,6
59415.56664,Parkes,2,0
59430.56664,Parkes,2,0
59453.1582,Parkes,2,1
59473.56664,Parkes,2,0
59481.2367,Parkes,2,1
59488.56664,Parkes,2,0
59496.56664,Parkes,2,0
59522.65622,GBT,6.5,8
59562.95263,Parkes,2,3
59574.94362,Parkes,2,6
59588.83324,Parkes,2.17,10
59602.76132,Parkes,2,1
59617.80943,Parkes,2,1
59626.81113,Parkes,2,1
59639.63635,Parkes,2,3
59642.77377,Parkes,2,9
59648.65337,Parkes,3,5
59683.55653,Parkes,2,1
59685.76011,Parkes,2,2
59724.40837,Parkes,2,1
59726.512,Parkes,2,4
59750.36692,Parkes,3.17,2
59755.3222,Parkes,2,8
59766.50422,Parkes,2,13
59789.33405,Parkes,2,19
59816.30628,Parkes,2,6
59854.08984,Parkes,2,1
59855.06386,Parkes,2,2
59856.19706,Parkes,2,2
59857.19676,Parkes,2,3
59858.24931,Parkes,2,1
59859.21487,Parkes,2,6
59860.11356,Parkes,2,4
59861.14177,Parkes,2,4
59862.09846,Parkes,2.67,8
59863.05776,Parkes,2,4
59864.11232,Parkes,2,3
